ID	adj.P.Val	P.Value	t	B	logFC	AveExpr
rno-let-7b-5p	9.24677732546424e-16	1.02741970282936e-17	-3852.61766488675	31.9956606981637	0.63889	11.393952
rno-let-7c-5p	3.01833480805459e-12	6.70741068456575e-14	-690.710659850876	23.1896211592144	0.608493333333332	10.7702603333333
rno-miR-126a-3p	0.000152302733147292	6.76901036210187e-06	18.6382397301884	4.86883115681471	-1.49594256251154	7.40581342222222
rno-let-7a-5p	0.000140188049635272	4.67293498784242e-06	-20.056976990198	3.59309290350149	0.834325298052301	9.96616047222222
rno-miR-1-3p	0.000192729291715204	1.07071828730669e-05	17.0175524495899	2.91620350655171	-2.09837497343618	10.1996532583333
rno-let-7e-5p	0.00179542440714215	0.000154790939767866	-9.94866441346438	1.21389129495818	0.598630576995968	8.07830600555556
rno-miR-195-5p	0.00179542440714215	0.000159593280634858	-9.8867395474444	1.12790090655198	0.932059279240545	8.13056426111111
rno-miR-23b-3p	0.00219708459323832	0.000219708459323832	-9.25957549454656	0.881570025200627	0.666916096173072	7.91571372222222
rno-miR-322-5p	0.00345962513632219	0.000422843072217156	8.085490499918	0.698575999224516	-1.06750209081839	4.62230221111111
rno-miR-214-3p	0.00320524994625834	0.000356138882917593	-8.37980568430693	0.652379607262575	3.22007327035991	7.17873573055556
rno-miR-30c-5p	0.00363221084106754	0.000500451296805783	7.80545892645311	0.491558352156847	-1.22333053219993	3.76509959444444
rno-miR-30e-5p	0.00363221084106754	0.000524652677043089	7.72850747480627	0.418360661371195	-2.32076097506438	3.983486325
rno-let-7i-5p	0.00179542440714215	0.00014325042414486	-10.1072995747897	0.341022716555395	1.07249842603115	9.25025116666667
rno-miR-155-5p	0.00400878027478203	0.000623588042743872	-7.45257015333358	0.209783645977761	1.77578582530054	3.03170810555556
rno-miR-29b-3p	0.00466397432749985	0.000777329054583308	7.11283395389101	-0.0971955598852512	-1.02069418600801	6.04259083055556
