ID	adj.P.Val	P.Value	t	B	logFC
rno-let-7b-5p	9.24677732546424e-16	1.02741970282936e-17	-3852.61766488675	31.9956606981637	0.63889
rno-let-7c-5p	3.01833480805459e-12	6.70741068456575e-14	-690.710659850876	23.1896211592144	0.608493333333332
rno-miR-126a-3p	0.000152302733147292	6.76901036210187e-06	18.6382397301884	4.86883115681471	-1.49594256251154
rno-let-7a-5p	0.000140188049635272	4.67293498784242e-06	-20.056976990198	3.59309290350149	0.834325298052301
rno-miR-1-3p	0.000192729291715204	1.07071828730669e-05	17.0175524495899	2.91620350655171	-2.09837497343618
rno-let-7e-5p	0.00179542440714215	0.000154790939767866	-9.94866441346438	1.21389129495818	0.598630576995968
rno-miR-195-5p	0.00179542440714215	0.000159593280634858	-9.8867395474444	1.12790090655198	0.932059279240545
rno-miR-23b-3p	0.00219708459323832	0.000219708459323832	-9.25957549454656	0.881570025200627	0.666916096173072
rno-miR-322-5p	0.00345962513632219	0.000422843072217156	8.085490499918	0.698575999224516	-1.06750209081839
rno-miR-214-3p	0.00320524994625834	0.000356138882917593	-8.37980568430693	0.652379607262575	3.22007327035991
rno-miR-30c-5p	0.00363221084106754	0.000500451296805783	7.80545892645311	0.491558352156847	-1.22333053219993
rno-miR-30e-5p	0.00363221084106754	0.000524652677043089	7.72850747480627	0.418360661371195	-2.32076097506438
rno-let-7i-5p	0.00179542440714215	0.00014325042414486	-10.1072995747897	0.341022716555395	1.07249842603115
rno-miR-155-5p	0.00400878027478203	0.000623588042743872	-7.45257015333358	0.209783645977761	1.77578582530054
rno-miR-29b-3p	0.00466397432749985	0.000777329054583308	7.11283395389101	-0.0971955598852512	-1.02069418600801
rno-miR-22-3p	0.0064033880008021	0.00113838008903148	6.55544843399346	-0.778441451329502	-0.979554749565252
rno-miR-199a-3p	0.00734302450572294	0.00138701573996989	-6.28126909222283	-0.778880093784321	2.07969738706941
rno-miR-107-3p	0.00991082153226591	0.00198216430645318	5.80906229789148	-1.09209744704046	-0.776768667529664
rno-miR-212-3p	0.0122369214711457	0.00258335008835299	5.47695161443152	-1.42422163244387	-1.09003443253775
rno-miR-30a-3p	0.0127879479408308	0.00298385451952719	5.30240051344056	-1.5259266626843	-1.47689459665623
rno-miR-30a-5p	0.0133283154241429	0.00326073816184442	5.19700374236857	-1.60585025004288	-1.14511087795349
rno-miR-497-5p	0.0158036026895881	0.0043898896359967	-4.85485571825801	-2.05890724981692	0.877437985325835
rno-miR-21-5p	0.0133283154241429	0.00340612505283651	-5.14575876070936	-2.17391313975828	1.15843752603606
rno-miR-125b-5p	0.0158036026895881	0.00422884592613114	-4.89695473990905	-2.29003821337234	0.879999420720408
rno-miR-320-3p	0.0189287737721199	0.00597223091404113	-4.51755501760154	-2.30598471603387	1.6520227269463
rno-miR-30b-3p	0.0200582487570662	0.00690895234965614	4.36351769998667	-2.56323457706774	-1.30244994234432
rno-miR-125a-5p	0.0231439493452123	0.00822895976718659	-4.18317039915862	-2.60475016503588	0.728724183011193
rno-let-7g-5p	0.0174474443336296	0.00523423330008889	4.6600690421803	-2.8164519982896	-0.587847332938513
rno-miR-211-3p	0.0291703958678453	0.0110199273278527	-3.89227422896406	-2.91418367977274	0.94557572064801
rno-miR-29c-3p	0.0293407951156896	0.0114103092116571	3.85842133510336	-3.02317530951582	-1.04672681214476
rno-miR-1b	0.0198204586500888	0.00660681955002961	4.41042285303208	-3.09456123791785	-2.55975128176453
rno-miR-30d-5p	0.0357089898103306	0.0147569047242618	3.61342568657662	-3.29151639652141	-1.3999364699017
rno-miR-3473	0.042615560153835	0.01894024895726	-3.3838029730057	-3.64467180552909	2.08009512281682
rno-miR-188-5p	0.0476459896642917	0.0220382819454561	-3.24803660696649	-3.70931789509981	0.560443524277372
rno-miR-133b-3p	0.0393844981266222	0.0170666158548696	3.47871072003448	-3.80784133653557	-2.90750312658939
