ID	adj.P.Val	P.Value	t	B	logFC	AveExpr	Symbol
ILMN_1357454	9.30909337161752e-07	4.13314983422169e-11	-11.6929363916548	14.8370363870961	-0.9370715321375	9.03923256248242	Crlf1_predicted
ILMN_1353780	2.37007750491772e-06	2.10458420718174e-10	-10.7537663257231	13.2947681055163	-0.894494255639978	9.60588718920508	Pi16_predicted
ILMN_1365571	5.6686928841336e-06	7.55053885024233e-10	-10.0540492890331	12.0456138374294	-1.11673547472425	11.6092418742969	Pi16_predicted
ILMN_1364910	6.59551012786965e-06	1.31285325269616e-09	-9.76058820347519	11.5882281699866	-0.84406638839307	10.9957870182422	RGD1561967_predicted
ILMN_1359044	6.59551012786965e-06	1.54668819574538e-09	9.67469084639853	11.5881018503015	1.30212613493968	9.567623172	Es2
ILMN_1373609	6.59551012786965e-06	1.7570066495235e-09	-9.60820687834174	11.4140105391308	-0.676913078025917	9.90313905584766	Tnfrsf12a
ILMN_2039308	3.50357480187483e-05	1.08888796399786e-08	-8.68708588385966	9.77534609097571	-0.882731265643995	14.2285767542188	Nppb
ILMN_1376321	3.73039338873225e-05	1.3250076415157e-08	-8.59117014446746	9.68000363962271	-0.600738051844367	9.36562979098438	Dkk3
ILMN_1362293	4.28235768788927e-05	1.90132650530092e-08	-8.41620631872927	9.46455392242994	-0.888940582164185	8.63400424902539	RGD1562305_predicted
ILMN_1360318	3.81645962053652e-05	1.5250249338378e-08	-8.52282188750477	9.43468688624092	-0.615119789178317	11.7534597843945	Col4a1
ILMN_1362842	5.80569148417679e-05	2.83543960955222e-08	-8.22483538028982	8.98060803472108	-1.13565630107024	9.58643209135938	Cilp_predicted
ILMN_1357585	0.00010744036911065	6.20132663694201e-08	7.85667611116275	8.3589716590602	0.50696906014235	8.6203562774668	Rasd2
ILMN_1361010	0.00010744036911065	5.8727883756743e-08	-7.88201155795491	8.25722157838118	-0.438570860089863	10.606458858457	Cmkor1
ILMN_1352446	0.000109150464897582	7.26926685372168e-08	7.78294901715743	8.17675979679462	0.455526168347875	8.90954428364844	RGD1564936_predicted
ILMN_1371773	0.000109150464897582	7.08860323745988e-08	-7.79460430761919	8.0702038196992	-0.899206044027922	11.5337246895312	Cd248_predicted
ILMN_1358592	0.000119159929584337	8.46494194090217e-08	7.71260525693798	8.01815160489615	0.905490827197548	9.14763494218359	Cyp2e1
ILMN_1364939	0.000163064043587521	1.23078130843487e-07	-7.54097916278274	7.58046189585267	-0.512567512445745	12.9588458176172	Pam
ILMN_1357974	0.000163513663822827	1.66976613591662e-07	7.40242483855661	7.45918170424325	0.336402038885616	8.25038109622656	Wwp1
ILMN_1357962	0.000163513663822827	1.49740534330142e-07	-7.45177982127569	7.42677182594347	-0.711671073918419	10.2023787026641	Nbl1
ILMN_1362033	0.000163513663822827	1.49965838798909e-07	-7.45109772737903	7.42446909265596	-1.48032087842927	10.3675605465	Col8a1_predicted
ILMN_1350146	0.000163513663822827	1.59966471583867e-07	-7.42183663424393	7.39075558829416	-0.511785931727919	9.64732219549805	Fbln2
ILMN_1358189	0.000163513663822827	1.53033360915876e-07	7.44191435114568	7.38412544533224	0.573453711127463	10.9605620186133	Exosc4_predicted
ILMN_1368610	0.000163513663822827	1.62945740907736e-07	7.41348202529658	7.3651261820005	0.431754256052693	9.81646823433594	Gchfr
ILMN_1363545	0.000164555443983431	1.75346563761592e-07	7.3803154131279	7.29341205407002	0.427209428438461	9.92246931047852	LOC500536
ILMN_1375020	0.000169839084987728	1.91061923317024e-07	-7.34158605879591	7.28175140577989	-0.351425974205105	8.86821184005469	Col4a2_predicted
ILMN_1352874	0.000169839084987728	1.96058083278468e-07	-7.32995610098415	7.15556036130962	-0.438787669208052	11.1708930536719	RGD1563354_predicted
ILMN_1369326	0.000187222590235991	2.3905327398922e-07	-7.2408914904633	7.11755656285389	-0.400222563698801	7.876624826	Aspm_predicted
ILMN_1349048	0.000178696577931022	2.14216916225085e-07	-7.29010907947729	7.07927846604285	-0.505317357379617	12.9852277616797	Ucp2
ILMN_1373142	0.000187222590235991	2.41062696658693e-07	-7.23714172753129	6.98943733730463	-2.2810626773866	14.3117458283594	Nppa
ILMN_1373103	0.000191994152568547	2.55730789728563e-07	7.21070457682991	6.91444145492599	0.535832172027966	12.6533806274609	Atp1a2
ILMN_1376258	0.000196777974605695	2.70839462450675e-07	7.18505287391671	6.86926131040626	0.801291891087557	10.8592220685547	Ddit4l
ILMN_1349500	0.000289173619113164	4.10849168033621e-07	-6.99997272043894	6.49218435845559	-0.98919619924227	10.7716488758789	LOC499856
ILMN_1372113	0.000367914942564527	5.39057545825573e-07	-6.88038826359445	6.24728552191216	-0.546799919626965	10.5255019691406	Alpl
ILMN_1349102	0.000477318891456195	7.41737832480878e-07	6.74087080099485	6.00801500134321	0.587108080310779	8.96308639941406	RGD1562922_predicted
ILMN_1365021	0.000477318891456195	7.26751280662018e-07	6.74976103303546	5.96800122403976	0.383514805742822	10.7934167128516	LOC315973
ILMN_1358542	0.000521911235422792	8.34205233548839e-07	6.68978463072082	5.84680798015281	0.360012771230934	10.5081869876367	Fdft1
ILMN_1349516	0.000581769505252512	9.55710682162365e-07	-6.63083335296241	5.71626673598975	-0.430354433316358	10.8383951458398	St3gal2
ILMN_1354482	0.00058590086465931	9.88510982420361e-07	6.6162325465686	5.68796980019204	0.379681634438617	10.6655294578711	Fxc1
ILMN_1368402	0.00059044260984828	1.02238874857181e-06	-6.60166351557205	5.68662882444964	-0.689015324086325	9.49232758107227	Uap1_predicted
