,281-Control,280-Control,255-Control,288-Control,256-MI,276-MI,253-MI,275-MI
Slc35c2,723,424,370,144,254,191,248,205
Elmo2,895,506,478,254,499,257,364,329
Slc13a3,16,1,2,2,2,2,2,3
Slc2a10,28,31,24,20,9,18,28,16
Eya2,95,25,53,26,45,14,30,13
Zmynd8,940,485,525,289,608,262,348,357
Sulf2,440,227,215,119,220,151,258,121
Prex1,149,102,65,51,82,39,80,52
Tp53rk,41,13,13,11,26,9,19,10
Arfgef2,338,168,153,112,199,85,162,162
Cse1l,3786,2257,2227,1237,2525,1309,2500,1774
Stau1,1450,953,839,447,973,458,778,692
Ddx27,467,258,248,147,247,139,207,210
Znfx1,425,242,176,125,253,83,141,174
Kcnb1,221,133,123,60,129,64,101,84
Ptgis,267,167,155,121,145,111,144,145
B4galt5,249,150,97,95,119,60,120,114
Slc9a8,400,296,161,135,231,101,170,201
Spata2,169,103,72,54,78,38,63,83
Rnf114,1303,956,754,473,885,358,728,612
Snai1,72,52,33,21,42,14,22,24
Ube2v1,209,128,110,96,115,58,150,121
Tmem189,333,198,151,90,193,96,165,162
Cebpb,97,50,44,28,37,16,48,33
Ptpn1,606,306,269,177,318,137,265,239
Pard6b,62,32,34,32,34,23,51,29
Adnp,1728,933,938,534,1071,665,1190,667
Dpm1,2706,1756,1646,880,1761,1011,1965,1472
Mocs3,119,50,93,49,71,25,82,83
Kcng1,2,0,0,0,0,0,0,0
Nfatc2,157,64,67,46,112,34,51,66
Zfp93,9,1,4,0,2,1,1,0
Zfp64,346,146,175,77,132,108,112,125
Zfp217,65,44,38,19,61,24,33,32
Bcas1,0,11,1,7,23,5,8,8
Cyp24a1,0,0,0,0,0,0,0,0
Dok5,479,367,332,276,324,168,422,295
Cbln4,0,0,0,0,0,0,0,0
Mc3r,0,0,0,0,0,0,0,0
Fam210b,173,54,43,47,105,36,53,58
Aurka,82,41,45,26,57,29,36,27
Cstf1,599,387,365,247,427,233,429,273
Cass4,11,11,7,1,7,6,1,8
Rtfdc1,1512,999,795,483,1026,441,914,733
Fam209a,1,0,0,0,0,0,0,0
Tfap2c,0,0,0,0,0,0,0,0
Bmp7,10,6,6,7,6,10,12,1
Spo11,9,2,2,2,2,4,1,4
Rae1,102,54,56,33,66,42,73,50
Rbm38,1793,846,789,592,1183,438,834,704
Pck1,115,65,53,23,17,174,27,93
Zbp1,21,2,3,2,2,1,1,6
Pmepa1,59,50,43,23,34,20,51,22
LOC689618,0,0,0,0,0,0,0,0
Rab22a,1860,504,598,464,920,280,565,783
Vapb,117,53,61,32,72,33,24,42
Stx16,542,354,250,166,311,114,269,226
Npepl1,1410,775,758,445,923,359,693,728
Mir296,0,0,0,0,0,0,0,0
Mir298,0,0,0,0,0,0,0,0
